Signal Legend:

Key        Signal Name

0        = data_o
1        = AD7606:ad7606_state|channel_read
2        = AD7606:ad7606_state|cycle_cnt
3        = AD7606:ad7606_state|data_i
4        = adc_cva
5        = adc_cs
6        = adc_busy
7        = adc_rd
8        = led

Data Table:

Signals-> 0     1  2         3     4 5 6 7 8 

sample

-16       4713  1h 00000000h 000Ah 1 1 0 1 1 
-15       3586  1h 00000000h 000Ah 1 1 0 1 1 
-14       2635  1h 00000000h 000Ah 1 1 0 1 1 
-13       1872  1h 00000000h 000Ah 1 1 0 1 1 
-12       1310  1h 00000000h 000Ah 1 1 0 1 1 
-11       949   1h 00000000h 000Ah 1 1 0 1 1 
-10       800   1h 00000000h 000Ah 1 1 0 1 1 
-9        856   1h 00000000h 000Ah 1 1 0 1 1 
-8        1120  1h 00000000h 000Ah 1 1 0 1 1 
-7        1593  1h 00000000h 000Ah 1 1 0 1 1 
-6        2266  1h 00000000h 000Ah 1 1 0 1 1 
-5        3132  1h 00000000h 000Ah 1 1 0 1 1 
-4        4180  1h 00000000h 000Ah 1 1 0 1 1 
-3        5397  1h 00000000h 000Ah 1 1 0 1 1 
-2        6764  1h 00000000h 000Ah 1 1 0 1 1 
-1        8267  1h 00000000h 000Ah 1 1 0 1 1 
0         9885  1h 00000000h 000Ah 1 1 0 1 1 
1         11598 1h 00000000h 000Ah 1 1 0 1 1 
2         13385 1h 00000000h 000Ah 1 1 0 1 1 
3         15223 1h 00000000h 000Ah 1 1 0 1 1 
4         17091 1h 00000000h 000Ah 1 1 0 1 1 
5         18965 1h 00000000h 000Ah 1 1 0 1 1 
6         20819 1h 00000000h 000Ah 1 1 0 1 1 
7         22629 1h 00000000h 000Ah 1 1 0 1 1 
8         24377 1h 00000000h 000Ah 1 1 0 1 1 
9         26037 1h 00000000h 000Ah 1 1 0 1 1 
10        27583 1h 00000000h 000Ah 1 1 0 1 1 
11        29003 1h 00000000h 000Ah 1 1 0 1 1 
12        30282 1h 00000000h 000Ah 1 1 0 1 1 
13        31399 1h 00000000h 000Ah 1 1 0 1 1 
14        32352 1h 00000000h 000Ah 1 1 0 1 1 
15        32767 1h 00000000h 000Ah 1 1 0 1 1 
16        32767 1h 00000000h 000Ah 1 1 0 1 1 
17        32767 1h 00000000h 000Ah 1 1 0 1 1 
18        32767 1h 00000000h 000Ah 1 1 0 1 1 
19        32767 1h 00000000h 000Ah 1 1 0 1 1 
20        32767 1h 00000000h 000Ah 1 1 0 1 1 
21        32767 1h 00000000h 000Ah 1 1 0 1 1 
22        32643 1h 00000000h 000Ah 1 1 0 1 1 
23        31737 1h 00000000h 000Ah 1 1 0 1 1 
24        30676 1h 00000000h 000Ah 1 1 0 1 1 
25        29446 1h 00000000h 000Ah 1 1 0 1 1 
26        28070 1h 00000000h 000Ah 1 1 0 1 1 
27        26562 1h 00000000h 000Ah 1 1 0 1 1 
28        24934 1h 00000000h 000Ah 1 1 0 1 1 
29        23214 1h 00000000h 000Ah 1 1 0 1 1 
30        21428 1h 00000000h 000Ah 1 1 0 1 1 
31        19585 1h 00000000h 000Ah 1 1 0 1 1 
32        17717 1h 00000000h 000Ah 1 1 0 1 1 
33        15847 1h 00000000h 000Ah 1 1 0 1 1 
34        13997 1h 00000000h 000Ah 1 1 0 1 1 
35        12189 1h 00000000h 000Ah 1 1 0 1 1 
36        10447 1h 00000000h 000Ah 1 1 0 1 1 
37        8799  1h 00000000h 000Ah 1 1 0 1 1 
38        7256  1h 00000000h 000Ah 1 1 0 1 1 
39        5841  1h 00000000h 000Ah 1 1 0 1 1 
40        4573  1h 00000000h 000Ah 1 1 0 1 1 
41        3468  1h 00000000h 000Ah 1 1 0 1 1 
42        2540  1h 00000000h 000Ah 1 1 0 1 1 
43        1799  1h 00000000h 000Ah 1 1 0 1 1 
44        1259  1h 00000000h 000Ah 1 1 0 1 1 
45        923   1h 00000000h 000Ah 1 1 0 1 1 
46        794   1h 00000000h 000Ah 1 1 0 1 1 
47        874   1h 00000000h 000Ah 1 1 0 1 1 
48        1163  1h 00000000h 000Ah 1 1 0 1 1 
49        1660  1h 00000000h 000Ah 1 1 0 1 1 
50        2358  1h 00000000h 000Ah 1 1 0 1 1 
51        3245  1h 00000000h 000Ah 1 1 0 1 1 
52        4313  1h 00000000h 000Ah 1 1 0 1 1 
53        5547  1h 00000000h 000Ah 1 1 0 1 1 
54        6930  1h 00000000h 000Ah 1 1 0 1 1 
55        8446  1h 00000000h 000Ah 1 1 0 1 1 
56        10074 1h 00000000h 000Ah 1 1 0 1 1 
57        11798 1h 00000000h 000Ah 1 1 0 1 1 
58        13594 1h 00000000h 000Ah 1 1 0 1 1 
59        15436 1h 00000000h 000Ah 1 1 0 1 1 
60        17307 1h 00000000h 000Ah 1 1 0 1 1 
61        19179 1h 00000000h 000Ah 1 1 0 1 1 
62        21028 1h 00000000h 000Ah 1 1 0 1 1 
63        22831 1h 00000000h 000Ah 1 1 0 1 1 
64        24565 1h 00000000h 000Ah 1 1 0 1 1 
65        26211 1h 00000000h 000Ah 1 1 0 1 1 
66        27746 1h 00000000h 000Ah 1 1 0 1 1 
67        29154 1h 00000000h 000Ah 1 1 0 1 1 
68        30417 1h 00000000h 000Ah 1 1 0 1 1 
69        31519 1h 00000000h 000Ah 1 1 0 1 1 
70        32450 1h 00000000h 000Ah 1 1 0 1 1 
71        32767 1h 00000000h 000Ah 1 1 0 1 1 
72        32767 1h 00000000h 000Ah 1 1 0 1 1 
73        32767 1h 00000000h 000Ah 1 1 0 1 1 
74        32767 1h 00000000h 000Ah 1 1 0 1 1 
75        32767 1h 00000000h 000Ah 1 1 0 1 1 
76        32767 1h 00000000h 000Ah 1 1 0 1 1 
77        32767 1h 00000000h 000Ah 1 1 0 1 1 
78        32552 1h 00000000h 000Ah 1 1 0 1 1 
79        31630 1h 00000000h 000Ah 1 1 0 1 1 
80        30546 1h 00000000h 000Ah 1 1 0 1 1 
81        29297 1h 00000000h 000Ah 1 1 0 1 1 
82        27902 1h 00000000h 000Ah 1 1 0 1 1 
83        26385 1h 00000000h 000Ah 1 1 0 1 1 
84        24745 1h 00000000h 000Ah 1 1 0 1 1 
85        23017 1h 00000000h 000Ah 1 1 0 1 1 
86        21219 1h 00000000h 000Ah 1 1 0 1 1 
87        19375 1h 00000000h 000Ah 1 1 0 1 1 
88        17506 1h 00000000h 000Ah 1 1 0 1 1 
89        15637 1h 00000000h 000Ah 1 1 0 1 1 
90        13790 1h 00000000h 000Ah 1 1 0 1 1 
91        11985 1h 00000000h 000Ah 1 1 0 1 1 
92        10253 1h 00000000h 000Ah 1 1 0 1 1 
93        8614  1h 00000000h 000Ah 1 1 0 1 1 
94        7085  1h 00000000h 000Ah 1 1 0 1 1 
95        5686  1h 00000000h 000Ah 1 1 0 1 1 
96        4436  1h 00000000h 000Ah 1 1 0 1 1 
97        3350  1h 00000000h 000Ah 1 1 0 1 1 
98        2445  1h 00000000h 000Ah 1 1 0 1 1 
99        1725  1h 00000000h 000Ah 1 1 0 1 1 
100       1205  1h 00000000h 000Ah 1 1 0 1 1 
101       893   1h 00000000h 000Ah 1 1 0 1 1 
102       791   1h 00000000h 000Ah 1 1 0 1 1 
103       896   1h 00000000h 000Ah 1 1 0 1 1 
104       1211  1h 00000000h 000Ah 1 1 0 1 1 
105       1734  1h 00000000h 000Ah 1 1 0 1 1 
106       2457  1h 00000000h 000Ah 1 1 0 1 1 
107       3367  1h 00000000h 000Ah 1 1 0 1 1 
108       4456  1h 00000000h 000Ah 1 1 0 1 1 
109       5708  1h 00000000h 000Ah 1 1 0 1 1 
110       7108  1h 00000000h 000Ah 1 1 0 1 1 
111       8638  1h 00000000h 000Ah 1 1 0 1 1 
