Signal Legend:

Key        Signal Name

0        = data_o
1        = AD7606:ad7606_state|channel_read
2        = AD7606:ad7606_state|cycle_cnt
3        = AD7606:ad7606_state|data_i
4        = adc_cva
5        = adc_cs
6        = adc_busy
7        = adc_rd
8        = led

Data Table:

Signals-> 0       1  2         3     4 5 6 7 8 

sample

-128      125025o 0h 00000869h 00E2h 1 1 0 1 1 
-127      125042o 1h 00000884h 00E2h 1 1 0 1 1 
-126      125030o 2h 00000880h 00E2h 1 1 0 1 1 
-125      125013o 3h 0000087Ch 00E2h 1 1 0 1 1 
-124      125055o 4h 00000878h 00E2h 1 1 0 1 1 
-123      175775o 5h 00000874h 00E2h 1 1 0 1 1 
-122      124771o 6h 00000870h 00E2h 1 1 0 1 1 
-121      125022o 7h 0000086Ch 00E2h 1 1 0 1 1 
-120      125026o 0h 00000868h 00E2h 1 1 0 1 1 
-119      125046o 1h 00000884h 00E2h 1 1 0 1 1 
-118      125035o 2h 00000880h 00E2h 1 1 0 1 1 
-117      125020o 3h 0000087Ch 00E2h 1 1 0 1 1 
-116      125061o 4h 00000878h 00E2h 1 1 0 1 1 
-115      125001o 5h 00000874h 00E2h 1 1 0 1 1 
-114      176777o 6h 00000870h 00E2h 1 1 0 1 1 
-113      125026o 7h 0000086Ch 00E2h 1 1 0 1 1 
-112      125031o 0h 00000868h 00E2h 1 1 0 1 1 
-111      125051o 1h 00000885h 00E2h 1 1 0 1 1 
-110      125040o 2h 00000881h 00E2h 1 1 0 1 1 
-109      125022o 3h 0000087Dh 00E2h 1 1 0 1 1 
-108      125065o 4h 00000879h 00E2h 1 1 0 1 1 
-107      125005o 5h 00000875h 00E2h 1 1 0 1 1 
-106      125002o 6h 00000871h 00E2h 1 1 0 1 1 
-105      125031o 7h 0000086Dh 00E2h 1 1 0 1 1 
-104      125034o 0h 00000869h 00E2h 1 1 0 1 1 
-103      125054o 1h 00000885h 00E2h 1 1 0 1 1 
-102      125042o 2h 00000881h 00E2h 1 1 0 1 1 
-101      125025o 3h 0000087Dh 00E2h 1 1 0 1 1 
-100      125071o 4h 00000879h 00E2h 1 1 0 1 1 
-99       125010o 5h 00000875h 00E2h 1 1 0 1 1 
-98       125004o 6h 00000871h 00E2h 1 1 0 1 1 
-97       125034o 7h 0000086Dh 00E2h 1 1 0 1 1 
-96       125036o 0h 00000869h 00E2h 1 1 0 1 1 
-95       125056o 1h 00000884h 00E2h 1 1 0 1 1 
-94       125045o 2h 00000880h 00E2h 1 1 0 1 1 
-93       125027o 3h 0000087Ch 00E2h 1 1 0 1 1 
-92       125071o 4h 00000878h 00E2h 1 1 0 1 1 
-91       125012o 5h 00000874h 00E2h 1 1 0 1 1 
-90       125006o 6h 00000870h 00E2h 1 1 0 1 1 
-89       125036o 7h 0000086Ch 00E2h 1 1 0 1 1 
-88       125041o 0h 00000868h 00E2h 1 1 0 1 1 
-87       125056o 1h 00000885h 00E2h 1 1 0 1 1 
-86       125046o 2h 00000881h 00E2h 1 1 0 1 1 
-85       125031o 3h 0000087Dh 00E2h 1 1 0 1 1 
-84       125073o 4h 00000879h 00E2h 1 1 0 1 1 
-83       125013o 5h 00000875h 00E2h 1 1 0 1 1 
-82       125010o 6h 00000871h 00E2h 1 1 0 1 1 
-81       125040o 7h 0000086Dh 00E2h 1 1 0 1 1 
-80       125042o 0h 00000869h 00E2h 1 1 0 1 1 
-79       125060o 1h 00000885h 00E2h 1 1 0 1 1 
-78       125047o 2h 00000881h 00E2h 1 1 0 1 1 
-77       125030o 3h 0000087Dh 00E2h 1 1 0 1 1 
-76       125072o 4h 00000879h 00E2h 1 1 0 1 1 
