Signal Legend:

Key        Signal Name

0        = data_o
1        = AD7606:ad7606_state|channel_read

Data Table:

Signals-> 0  1  

sample

-16       -4 1h 
-15       -5 1h 
-14       -5 1h 
-13       -5 1h 
-12       -5 1h 
-11       -5 1h 
-10       -5 1h 
-9        -4 1h 
-8        -5 1h 
-7        -5 1h 
-6        -5 1h 
-5        -4 1h 
-4        -5 1h 
-3        -6 1h 
-2        -5 1h 
-1        -5 1h 
0         -5 1h 
1         -6 1h 
2         -4 1h 
3         -5 1h 
4         -6 1h 
5         -6 1h 
6         -6 1h 
7         -5 1h 
8         -5 1h 
9         -6 1h 
10        -6 1h 
11        -4 1h 
12        -5 1h 
13        -5 1h 
14        -6 1h 
15        -5 1h 
16        -4 1h 
17        -5 1h 
18        -6 1h 
19        -4 1h 
20        -4 1h 
21        -5 1h 
22        -4 1h 
23        -4 1h 
24        -5 1h 
25        -5 1h 
26        -5 1h 
27        -5 1h 
28        -5 1h 
29        -5 1h 
30        -4 1h 
31        -4 1h 
32        -5 1h 
33        -5 1h 
34        -5 1h 
35        -5 1h 
36        -5 1h 
37        -5 1h 
38        -5 1h 
39        -5 1h 
40        -4 1h 
41        -4 1h 
42        -5 1h 
43        -5 1h 
44        -5 1h 
45        -4 1h 
46        -5 1h 
47        -4 1h 
48        -4 1h 
49        -4 1h 
50        -5 1h 
51        -5 1h 
52        -4 1h 
53        -5 1h 
54        -5 1h 
55        -5 1h 
56        -4 1h 
57        -4 1h 
58        -4 1h 
59        -6 1h 
60        -5 1h 
61        -5 1h 
62        -5 1h 
63        -5 1h 
64        -4 1h 
65        -5 1h 
66        -5 1h 
67        -5 1h 
68        -4 1h 
69        -5 1h 
70        -5 1h 
71        -4 1h 
72        -5 1h 
73        -5 1h 
74        -5 1h 
75        -5 1h 
76        -6 1h 
77        -5 1h 
78        -3 1h 
79        -5 1h 
80        -5 1h 
81        -5 1h 
82        -5 1h 
83        -6 1h 
84        -5 1h 
85        -5 1h 
86        -5 1h 
87        -5 1h 
88        -4 1h 
89        -5 1h 
90        -5 1h 
91        -5 1h 
92        -5 1h 
93        -6 1h 
94        -6 1h 
95        -6 1h 
96        -5 1h 
97        -6 1h 
98        -6 1h 
99        -5 1h 
100       -5 1h 
101       -5 1h 
102       -4 1h 
103       -6 1h 
104       -6 1h 
105       -5 1h 
106       -5 1h 
107       -4 1h 
108       -6 1h 
109       -5 1h 
110       -4 1h 
